time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1763955739.87415123,0.01254100,1989,0.00385736,0.00000000,287,0.00065509,65,237,292,0.00000000
1763955739.92418814,0.02245521,2852,0.00445382,0.00000000,0,0.00002421,237,421,258,0.00054455
1763955739.97422910,0.01995850,1945,0.00107189,0.00000000,0,0.00000233,421,528,147,0.00058976
1763955740.02417588,0.00930257,2796,0.00077468,0.00000000,0,0.00000117,528,588,127,0.00023450
1763955740.07413745,0.00907448,1989,0.00081843,0.00000000,0,0.00000146,588,629,115,0.00056030
1763955740.12422347,0.00997254,2812,0.00070614,0.00000000,0,0.00000088,629,635,80,0.00024121
1763955740.17430258,0.00931424,1978,0.00054367,0.00000000,0,0.00000117,635,698,91,0.00020009
1763955740.22413254,0.00994016,2837,0.00053784,0.00000000,0,0.00000146,698,686,60,0.00023188
1763955740.27426481,0.04859714,1965,0.00118448,0.00000000,0,0.00000233,686,719,77,0.00021321
1763955740.32401347,0.02409848,2819,0.00139798,0.00000000,0,0.00000233,719,696,49,0.00018813
1763955740.37418127,0.00937899,1960,0.00042526,0.00000000,0,0.00000117,696,736,69,0.00025813
1763955740.42419839,0.00947757,2782,0.00034213,0.00000000,0,0.00000117,736,745,45,0.00023742
1763955740.47420335,0.01018050,1975,0.00072072,0.00000000,0,0.00000117,745,708,58,0.00020359
1763955740.52414536,0.02393515,2769,0.00075806,0.00000000,0,0.00000262,708,727,47,0.00025930
1763955740.57428169,0.02186136,2014,0.00041563,0.00000000,0,0.00000233,727,756,63,0.00030071
1763955740.62427497,0.01011663,2776,0.00027826,0.00000000,0,0.00000146,756,773,39,0.00022517
1763955740.67419529,0.01035901,1962,0.00030800,0.00000000,0,0.00000117,773,791,41,0.00021555
1763955740.72413635,0.01042726,2788,0.00042497,0.00000000,0,0.00000146,791,788,46,0.00021175
1763955740.77429175,0.01002533,2066,0.00029400,0.00000000,0,0.00000146,788,795,40,0.00021059
1763955740.82412672,0.01034150,2716,0.00027242,0.00000000,0,0.00000146,795,822,37,0.00021525
1763955740.87417912,0.02505575,2091,0.00050372,0.00000000,0,0.00000233,822,845,38,0.00022196
1763955740.92425418,0.01362952,2731,0.00041126,0.00000000,0,0.00000233,845,829,39,0.00021934
1763955740.97418737,0.02492479,2117,0.00053988,0.00000000,0,0.00000233,829,795,22,0.00019659
1763955741.02422023,0.00990925,2654,0.00019075,0.00000000,0,0.00000146,795,822,31,0.00021846
1763955741.07421541,0.02864447,2150,0.00024238,0.00000000,0,0.00000262,822,842,32,0.00021059
1763955741.12425852,0.01067488,2619,0.00034417,0.00000000,0,0.00000146,842,838,40,0.00018200
1763955741.17426157,0.01069355,2155,0.00022925,0.00000000,0,0.00000146,838,849,30,0.00063584
1763955741.22418118,0.01104764,2580,0.00018288,0.00000000,0,0.00000146,849,856,21,0.00023188
1763955741.27425456,0.01114535,2215,0.00027738,0.00000000,0,0.00000117,856,875,38,0.00022254
1763955741.32409811,0.01141019,2568,0.00035701,0.00000000,0,0.00000117,875,874,36,0.00022896
1763955741.37408352,0.03021863,2244,0.00025871,0.00000000,0,0.00000263,874,873,34,0.00022867
1763955741.42412686,0.01128156,2554,0.00031413,0.00000000,0,0.00000117,873,865,32,0.00021175
1763955741.47421575,0.01115994,2214,0.00039230,0.00000000,0,0.00000117,865,851,40,0.00022925
1763955741.52420235,0.01093301,2554,0.00032113,0.00000000,0,0.00000117,851,872,38,0.00080793
1763955741.57415962,0.01145832,2293,0.00016479,0.00000000,0,0.00000117,872,856,18,0.00024734
1763955741.62427592,0.01145656,2498,0.00024325,0.00000000,0,0.00000117,856,861,32,0.00023480
1763955741.67417359,0.02745504,2326,0.00032025,0.00000000,0,0.00000262,861,864,19,0.00022575
1763955741.72416186,0.01051913,2504,0.00019221,0.00000000,0,0.00000117,864,860,19,0.00021642
1763955741.77425432,0.01106164,2286,0.00017996,0.00000000,0,0.00000146,860,877,26,0.00098818
1763955741.82414603,0.02778200,2427,0.00034301,0.00000000,0,0.00000233,877,899,24,0.00078051
1763955741.87426448,0.01133902,2441,0.00021030,0.00000000,0,0.00000117,899,916,30,0.00025871
1763955741.92420793,0.02482999,2381,0.00024559,0.00000000,0,0.00000117,916,932,32,0.00022021
1763955741.97419572,0.01121564,2454,0.00012221,0.00000000,0,0.00000146,932,942,18,0.00025375
1763955742.02411914,0.01116052,2349,0.00019338,0.00000000,0,0.00000117,942,959,28,0.00078401
1763955742.07432890,0.01159861,2484,0.00015284,0.00000000,0,0.00000117,959,969,20,0.00083593
